"","No","Date","Flow","SpC","Lat","Long","Drain"
"1","01636845",2016-10-01,3.15,,39.34125,-77.6340833,4.16
"2","01636845",2016-10-02,1.73,,39.34125,-77.6340833,4.16
"3","01636845",2016-10-03,1.38,,39.34125,-77.6340833,4.16
"4","01636845",2016-10-04,1.21,,39.34125,-77.6340833,4.16
"5","01636845",2016-10-05,1.15,,39.34125,-77.6340833,4.16
"6","01636845",2016-10-06,1.13,,39.34125,-77.6340833,4.16
"7","01636845",2016-10-07,1.11,,39.34125,-77.6340833,4.16
"8","01636845",2016-10-08,1.38,,39.34125,-77.6340833,4.16
"9","01636845",2016-10-09,1.16,,39.34125,-77.6340833,4.16
"10","01636845",2016-10-10,0.94,,39.34125,-77.6340833,4.16
"11","01636845",2016-10-11,0.93,,39.34125,-77.6340833,4.16
"12","01636845",2016-10-12,0.95,,39.34125,-77.6340833,4.16
"13","01636845",2016-10-13,0.97,,39.34125,-77.6340833,4.16
"14","01636845",2016-10-14,0.94,,39.34125,-77.6340833,4.16
"15","01636845",2016-10-15,0.92,,39.34125,-77.6340833,4.16
"16","01636845",2016-10-16,0.92,,39.34125,-77.6340833,4.16
"17","01636845",2016-10-17,0.93,,39.34125,-77.6340833,4.16
"18","01636845",2016-10-18,0.9,,39.34125,-77.6340833,4.16
"19","01636845",2016-10-19,0.86,,39.34125,-77.6340833,4.16
"20","01636845",2016-10-20,0.82,,39.34125,-77.6340833,4.16
"21","01636845",2016-10-21,0.82,,39.34125,-77.6340833,4.16
"22","01636845",2016-10-22,0.77,,39.34125,-77.6340833,4.16
"23","01636845",2016-10-23,0.7,,39.34125,-77.6340833,4.16
"24","01636845",2016-10-24,0.7,,39.34125,-77.6340833,4.16
"25","01636845",2016-10-25,0.68,,39.34125,-77.6340833,4.16
"26","01636845",2016-10-26,0.72,,39.34125,-77.6340833,4.16
"27","01636845",2016-10-27,0.76,,39.34125,-77.6340833,4.16
"28","01636845",2016-10-28,0.77,,39.34125,-77.6340833,4.16
"29","01636845",2016-10-29,0.75,,39.34125,-77.6340833,4.16
"30","01636845",2016-10-30,0.78,,39.34125,-77.6340833,4.16
"31","01636845",2016-10-31,0.82,,39.34125,-77.6340833,4.16
"32","01636845",2016-11-01,0.76,,39.34125,-77.6340833,4.16
"33","01636845",2016-11-02,0.78,,39.34125,-77.6340833,4.16
"34","01636845",2016-11-03,0.81,,39.34125,-77.6340833,4.16
"35","01636845",2016-11-04,0.82,,39.34125,-77.6340833,4.16
