"","No","Date","Flow","SpC"
"1","02040000",1950-01-01,465,NA
"2","02040000",1950-01-02,455,NA
"3","02040000",1950-01-03,455,NA
"4","02040000",1950-01-04,455,NA
"5","02040000",1950-01-05,465,NA
"6","02040000",1950-01-06,465,NA
"7","02040000",1950-01-07,455,NA
"8","02040000",1950-01-08,435,NA
"9","02040000",1950-01-09,415,NA
"10","02040000",1950-01-10,406,NA
"11","02040000",1950-01-11,415,NA
"12","02040000",1950-01-12,425,NA
"13","02040000",1950-01-13,539,NA
"14","02040000",1950-01-14,597,NA
"15","02040000",1950-01-15,573,NA
"16","02040000",1950-01-16,517,NA
"17","02040000",1950-01-17,485,NA
"18","02040000",1950-01-18,475,NA
"19","02040000",1950-01-19,506,NA
"20","02040000",1950-01-20,633,NA
"21","02040000",1950-01-21,710,NA
"22","02040000",1950-01-22,633,NA
"23","02040000",1950-01-23,561,NA
"24","02040000",1950-01-24,528,NA
"25","02040000",1950-01-25,506,NA
"26","02040000",1950-01-26,495,NA
"27","02040000",1950-01-27,495,NA
"28","02040000",1950-01-28,517,NA
"29","02040000",1950-01-29,539,NA
"30","02040000",1950-01-30,561,NA
"31","02040000",1950-01-31,1530,NA
"32","02040000",1950-02-01,2490,NA
"33","02040000",1950-02-02,2690,NA
"34","02040000",1950-02-03,2320,NA
"35","02040000",1950-02-04,1290,NA
"36","02040000",1950-02-05,922,NA
"37","02040000",1950-02-06,788,NA
"38","02040000",1950-02-07,788,NA
"39","02040000",1950-02-08,762,NA
"40","02040000",1950-02-09,710,NA
"41","02040000",1950-02-10,814,NA
"42","02040000",1950-02-11,1150,NA
"43","02040000",1950-02-12,1120,NA
"44","02040000",1950-02-13,895,NA
"45","02040000",1950-02-14,800,NA
"46","02040000",1950-02-15,850,NA
"47","02040000",1950-02-16,800,NA
"48","02040000",1950-02-17,700,NA
"49","02040000",1950-02-18,620,NA
"50","02040000",1950-02-19,600,NA
"51","02040000",1950-02-20,560,NA
"52","02040000",1950-02-21,540,NA
"53","02040000",1950-02-22,560,NA
"54","02040000",1950-02-23,750,NA
"55","02040000",1950-02-24,684,NA
"56","02040000",1950-02-25,658,NA
"57","02040000",1950-02-26,600,NA
"58","02040000",1950-02-27,580,NA
"59","02040000",1950-02-28,561,NA
"60","02040000",1950-03-01,561,NA
"61","02040000",1950-03-02,539,NA
"62","02040000",1950-03-03,495,NA
"63","02040000",1950-03-04,455,NA
"64","02040000",1950-03-05,445,NA
"65","02040000",1950-03-06,445,NA
"66","02040000",1950-03-07,445,NA
"67","02040000",1950-03-08,455,NA
"68","02040000",1950-03-09,485,NA
"69","02040000",1950-03-10,506,NA
"70","02040000",1950-03-11,465,NA
"71","02040000",1950-03-12,445,NA
"72","02040000",1950-03-13,506,NA
"73","02040000",1950-03-14,762,NA
"74","02040000",1950-03-15,1030,NA
"75","02040000",1950-03-16,762,NA
"76","02040000",1950-03-17,684,NA
"77","02040000",1950-03-18,868,NA
"78","02040000",1950-03-19,1060,NA
"79","02040000",1950-03-20,814,NA
"80","02040000",1950-03-21,1320,NA
"81","02040000",1950-03-22,1840,NA
"82","02040000",1950-03-23,3190,NA
"83","02040000",1950-03-24,3150,NA
"84","02040000",1950-03-25,3260,NA
"85","02040000",1950-03-26,3190,NA
"86","02040000",1950-03-27,1210,NA
"87","02040000",1950-03-28,922,NA
"88","02040000",1950-03-29,841,NA
"89","02040000",1950-03-30,788,NA
"90","02040000",1950-03-31,736,NA
"91","02040000",1950-04-01,658,NA
"92","02040000",1950-04-02,609,NA
"93","02040000",1950-04-03,597,NA
"94","02040000",1950-04-04,573,NA
"95","02040000",1950-04-05,550,NA
"96","02040000",1950-04-06,539,NA
"97","02040000",1950-04-07,528,NA
"98","02040000",1950-04-08,485,NA
"99","02040000",1950-04-09,465,NA
"100","02040000",1950-04-10,455,NA
"101","02040000",1950-04-11,445,NA
"102","02040000",1950-04-12,445,NA
"103","02040000",1950-04-13,435,NA
"104","02040000",1950-04-14,425,NA
"105","02040000",1950-04-15,415,NA
"106","02040000",1950-04-16,397,NA
"107","02040000",1950-04-17,397,NA
"108","02040000",1950-04-18,397,NA
"109","02040000",1950-04-19,388,NA
"110","02040000",1950-04-20,406,NA
"111","02040000",1950-04-21,475,NA
"112","02040000",1950-04-22,506,NA
"113","02040000",1950-04-23,465,NA
"114","02040000",1950-04-24,415,NA
"115","02040000",1950-04-25,406,NA
"116","02040000",1950-04-26,397,NA
"117","02040000",1950-04-27,379,NA
"118","02040000",1950-04-28,379,NA
"119","02040000",1950-04-29,379,NA
"120","02040000",1950-04-30,397,NA
"121","02040000",1950-05-01,517,NA
"122","02040000",1950-05-02,684,NA
"123","02040000",1950-05-03,1030,NA
"124","02040000",1950-05-04,1650,NA
"125","02040000",1950-05-05,1440,NA
"126","02040000",1950-05-06,868,NA
"127","02040000",1950-05-07,710,NA
"128","02040000",1950-05-08,736,NA
"129","02040000",1950-05-09,658,NA
"130","02040000",1950-05-10,528,NA
"131","02040000",1950-05-11,475,NA
"132","02040000",1950-05-12,445,NA
"133","02040000",1950-05-13,435,NA
"134","02040000",1950-05-14,445,NA
"135","02040000",1950-05-15,495,NA
"136","02040000",1950-05-16,978,NA
"137","02040000",1950-05-17,1380,NA
"138","02040000",1950-05-18,1530,NA
"139","02040000",1950-05-19,2420,NA
"140","02040000",1950-05-20,2390,NA
"141","02040000",1950-05-21,1710,NA
"142","02040000",1950-05-22,788,NA
"143","02040000",1950-05-23,633,NA
"144","02040000",1950-05-24,609,NA
"145","02040000",1950-05-25,1120,NA
"146","02040000",1950-05-26,1090,NA
"147","02040000",1950-05-27,658,NA
"148","02040000",1950-05-28,762,NA
"149","02040000",1950-05-29,2030,NA
"150","02040000",1950-05-30,2660,NA
"151","02040000",1950-05-31,2870,NA
"152","02040000",1950-06-01,1810,NA
"153","02040000",1950-06-02,1320,NA
"154","02040000",1950-06-03,1020,NA
"155","02040000",1950-06-04,736,NA
"156","02040000",1950-06-05,658,NA
"157","02040000",1950-06-06,609,NA
"158","02040000",1950-06-07,550,NA
"159","02040000",1950-06-08,485,NA
"160","02040000",1950-06-09,445,NA
"161","02040000",1950-06-10,435,NA
"162","02040000",1950-06-11,528,NA
"163","02040000",1950-06-12,633,NA
"164","02040000",1950-06-13,506,NA
"165","02040000",1950-06-14,415,NA
"166","02040000",1950-06-15,379,NA
"167","02040000",1950-06-16,370,NA
"168","02040000",1950-06-17,352,NA
"169","02040000",1950-06-18,334,NA
"170","02040000",1950-06-19,325,NA
"171","02040000",1950-06-20,308,NA
"172","02040000",1950-06-21,308,NA
"173","02040000",1950-06-22,343,NA
"174","02040000",1950-06-23,415,NA
"175","02040000",1950-06-24,485,NA
"176","02040000",1950-06-25,868,NA
"177","02040000",1950-06-26,561,NA
"178","02040000",1950-06-27,379,NA
"179","02040000",1950-06-28,325,NA
"180","02040000",1950-06-29,291,NA
"181","02040000",1950-06-30,291,NA
"182","02040000",1950-07-01,316,NA
"183","02040000",1950-07-02,325,NA
"184","02040000",1950-07-03,282,NA
"185","02040000",1950-07-04,266,NA
"186","02040000",1950-07-05,308,NA
"187","02040000",1950-07-06,591,NA
"188","02040000",1950-07-07,788,NA
"189","02040000",1950-07-08,710,NA
"190","02040000",1950-07-09,597,NA
"191","02040000",1950-07-10,922,NA
"192","02040000",1950-07-11,1060,NA
"193","02040000",1950-07-12,736,NA
"194","02040000",1950-07-13,1180,NA
"195","02040000",1950-07-14,1780,NA
"196","02040000",1950-07-15,1180,NA
"197","02040000",1950-07-16,1440,NA
"198","02040000",1950-07-17,950,NA
"199","02040000",1950-07-18,550,NA
"200","02040000",1950-07-19,406,NA
"201","02040000",1950-07-20,343,NA
"202","02040000",1950-07-21,469,NA
"203","02040000",1950-07-22,841,NA
"204","02040000",1950-07-23,1060,NA
"205","02040000",1950-07-24,762,NA
"206","02040000",1950-07-25,485,NA
"207","02040000",1950-07-26,762,NA
"208","02040000",1950-07-27,1590,NA
"209","02040000",1950-07-28,1320,NA
"210","02040000",1950-07-29,814,NA
"211","02040000",1950-07-30,475,NA
"212","02040000",1950-07-31,388,NA
"213","02040000",1950-08-01,334,NA
"214","02040000",1950-08-02,300,NA
"215","02040000",1950-08-03,361,NA
"216","02040000",1950-08-04,870,NA
"217","02040000",1950-08-05,710,NA
"218","02040000",1950-08-06,435,NA
"219","02040000",1950-08-07,316,NA
"220","02040000",1950-08-08,274,NA
"221","02040000",1950-08-09,250,NA
"222","02040000",1950-08-10,226,NA
"223","02040000",1950-08-11,218,NA
"224","02040000",1950-08-12,211,NA
"225","02040000",1950-08-13,211,NA
"226","02040000",1950-08-14,204,NA
"227","02040000",1950-08-15,189,NA
"228","02040000",1950-08-16,189,NA
"229","02040000",1950-08-17,189,NA
"230","02040000",1950-08-18,204,NA
"231","02040000",1950-08-19,211,NA
"232","02040000",1950-08-20,211,NA
"233","02040000",1950-08-21,234,NA
"234","02040000",1950-08-22,379,NA
"235","02040000",1950-08-23,517,NA
"236","02040000",1950-08-24,684,NA
"237","02040000",1950-08-25,658,NA
"238","02040000",1950-08-26,415,NA
"239","02040000",1950-08-27,291,NA
"240","02040000",1950-08-28,258,NA
"241","02040000",1950-08-29,226,NA
"242","02040000",1950-08-30,211,NA
"243","02040000",1950-08-31,406,NA
"244","02040000",1950-09-01,300,NA
"245","02040000",1950-09-02,258,NA
"246","02040000",1950-09-03,250,NA
"247","02040000",1950-09-04,234,NA
"248","02040000",1950-09-05,211,NA
"249","02040000",1950-09-06,211,NA
"250","02040000",1950-09-07,334,NA
"251","02040000",1950-09-08,343,NA
"252","02040000",1950-09-09,445,NA
"253","02040000",1950-09-10,1560,NA
"254","02040000",1950-09-11,2290,NA
"255","02040000",1950-09-12,2260,NA
"256","02040000",1950-09-13,2260,NA
"257","02040000",1950-09-14,2260,NA
"258","02040000",1950-09-15,2260,NA
"259","02040000",1950-09-16,1150,NA
"260","02040000",1950-09-17,633,NA
"261","02040000",1950-09-18,517,NA
"262","02040000",1950-09-19,455,NA
"263","02040000",1950-09-20,406,NA
"264","02040000",1950-09-21,388,NA
"265","02040000",1950-09-22,435,NA
"266","02040000",1950-09-23,841,NA
"267","02040000",1950-09-24,1210,NA
"268","02040000",1950-09-25,964,NA
"269","02040000",1950-09-26,506,NA
"270","02040000",1950-09-27,406,NA
"271","02040000",1950-09-28,379,NA
"272","02040000",1950-09-29,352,NA
"273","02040000",1950-09-30,343,NA
"274","02040000",1950-10-01,343,NA
"275","02040000",1950-10-02,343,NA
"276","02040000",1950-10-03,325,NA
"277","02040000",1950-10-04,308,NA
"278","02040000",1950-10-05,316,NA
"279","02040000",1950-10-06,352,NA
"280","02040000",1950-10-07,370,NA
"281","02040000",1950-10-08,370,NA
"282","02040000",1950-10-09,739,NA
"283","02040000",1950-10-10,1210,NA
"284","02040000",1950-10-11,950,NA
"285","02040000",1950-10-12,561,NA
"286","02040000",1950-10-13,435,NA
"287","02040000",1950-10-14,379,NA
"288","02040000",1950-10-15,343,NA
"289","02040000",1950-10-16,325,NA
"290","02040000",1950-10-17,308,NA
"291","02040000",1950-10-18,308,NA
"292","02040000",1950-10-19,300,NA
"293","02040000",1950-10-20,300,NA
"294","02040000",1950-10-21,308,NA
"295","02040000",1950-10-22,308,NA
"296","02040000",1950-10-23,316,NA
"297","02040000",1950-10-24,361,NA
"298","02040000",1950-10-25,475,NA
"299","02040000",1950-10-26,517,NA
"300","02040000",1950-10-27,406,NA
"301","02040000",1950-10-28,352,NA
"302","02040000",1950-10-29,334,NA
"303","02040000",1950-10-30,325,NA
"304","02040000",1950-10-31,316,NA
"305","02040000",1950-11-01,316,NA
"306","02040000",1950-11-02,308,NA
"307","02040000",1950-11-03,300,NA
"308","02040000",1950-11-04,316,NA
"309","02040000",1950-11-05,316,NA
"310","02040000",1950-11-06,308,NA
"311","02040000",1950-11-07,316,NA
"312","02040000",1950-11-08,300,NA
"313","02040000",1950-11-09,291,NA
"314","02040000",1950-11-10,282,NA
"315","02040000",1950-11-11,282,NA
"316","02040000",1950-11-12,282,NA
"317","02040000",1950-11-13,282,NA
"318","02040000",1950-11-14,274,NA
"319","02040000",1950-11-15,266,NA
"320","02040000",1950-11-16,274,NA
"321","02040000",1950-11-17,274,NA
"322","02040000",1950-11-18,274,NA
"323","02040000",1950-11-19,274,NA
"324","02040000",1950-11-20,274,NA
"325","02040000",1950-11-21,308,NA
"326","02040000",1950-11-22,361,NA
"327","02040000",1950-11-23,361,NA
"328","02040000",1950-11-24,316,NA
"329","02040000",1950-11-25,388,NA
"330","02040000",1950-11-26,950,NA
"331","02040000",1950-11-27,922,NA
"332","02040000",1950-11-28,550,NA
"333","02040000",1950-11-29,435,NA
"334","02040000",1950-11-30,397,NA
"335","02040000",1950-12-01,370,NA
"336","02040000",1950-12-02,352,NA
"337","02040000",1950-12-03,343,NA
"338","02040000",1950-12-04,722,NA
"339","02040000",1950-12-05,1870,NA
"340","02040000",1950-12-06,2260,NA
"341","02040000",1950-12-07,2290,NA
"342","02040000",1950-12-08,1470,NA
"343","02040000",1950-12-09,1680,NA
"344","02040000",1950-12-10,1290,NA
"345","02040000",1950-12-11,978,NA
"346","02040000",1950-12-12,1060,NA
"347","02040000",1950-12-13,978,NA
"348","02040000",1950-12-14,788,NA
"349","02040000",1950-12-15,710,NA
"350","02040000",1950-12-16,684,NA
"351","02040000",1950-12-17,710,NA
"352","02040000",1950-12-18,658,NA
"353","02040000",1950-12-19,585,NA
"354","02040000",1950-12-20,506,NA
"355","02040000",1950-12-21,415,NA
"356","02040000",1950-12-22,425,NA
"357","02040000",1950-12-23,475,NA
"358","02040000",1950-12-24,528,NA
"359","02040000",1950-12-25,561,NA
"360","02040000",1950-12-26,528,NA
"361","02040000",1950-12-27,455,NA
"362","02040000",1950-12-28,415,NA
"363","02040000",1950-12-29,379,NA
"364","02040000",1950-12-30,495,NA
"365","02040000",1950-12-31,585,NA
"366","02040000",1951-01-01,561,NA
"367","02040000",1951-01-02,495,NA
"368","02040000",1951-01-03,465,NA
"369","02040000",1951-01-04,465,NA
"370","02040000",1951-01-05,465,NA
"371","02040000",1951-01-06,445,NA
"372","02040000",1951-01-07,455,NA
"373","02040000",1951-01-08,990,NA
"374","02040000",1951-01-09,1320,NA
"375","02040000",1951-01-10,868,NA
"376","02040000",1951-01-11,684,NA
"377","02040000",1951-01-12,658,NA
"378","02040000",1951-01-13,609,NA
"379","02040000",1951-01-14,573,NA
"380","02040000",1951-01-15,609,NA
"381","02040000",1951-01-16,841,NA
"382","02040000",1951-01-17,868,NA
"383","02040000",1951-01-18,710,NA
"384","02040000",1951-01-19,633,NA
"385","02040000",1951-01-20,597,NA
"386","02040000",1951-01-21,573,NA
"387","02040000",1951-01-22,550,NA
"388","02040000",1951-01-23,517,NA
"389","02040000",1951-01-24,506,NA
"390","02040000",1951-01-25,539,NA
"391","02040000",1951-01-26,561,NA
"392","02040000",1951-01-27,528,NA
"393","02040000",1951-01-28,506,NA
"394","02040000",1951-01-29,506,NA
"395","02040000",1951-01-30,506,NA
"396","02040000",1951-01-31,528,NA
"397","02040000",1951-02-01,550,NA
"398","02040000",1951-02-02,658,NA
"399","02040000",1951-02-03,814,NA
"400","02040000",1951-02-04,658,NA
"401","02040000",1951-02-05,485,NA
"402","02040000",1951-02-06,573,NA
"403","02040000",1951-02-07,762,NA
"404","02040000",1951-02-08,1650,NA
"405","02040000",1951-02-09,2060,NA
"406","02040000",1951-02-10,1400,NA
"407","02040000",1951-02-11,868,NA
"408","02040000",1951-02-12,762,NA
"409","02040000",1951-02-13,762,NA
"410","02040000",1951-02-14,710,NA
"411","02040000",1951-02-15,658,NA
"412","02040000",1951-02-16,609,NA
"413","02040000",1951-02-17,841,NA
"414","02040000",1951-02-18,1740,NA
"415","02040000",1951-02-19,1650,NA
"416","02040000",1951-02-20,1090,NA
"417","02040000",1951-02-21,950,NA
"418","02040000",1951-02-22,1090,NA
"419","02040000",1951-02-23,1180,NA
"420","02040000",1951-02-24,922,NA
"421","02040000",1951-02-25,762,NA
"422","02040000",1951-02-26,710,NA
"423","02040000",1951-02-27,658,NA
"424","02040000",1951-02-28,609,NA
"425","02040000",1951-03-01,597,NA
"426","02040000",1951-03-02,597,NA
"427","02040000",1951-03-03,585,NA
"428","02040000",1951-03-04,573,NA
"429","02040000",1951-03-05,573,NA
"430","02040000",1951-03-06,597,NA
"431","02040000",1951-03-07,609,NA
"432","02040000",1951-03-08,736,NA
"433","02040000",1951-03-09,762,NA
"434","02040000",1951-03-10,658,NA
"435","02040000",1951-03-11,573,NA
"436","02040000",1951-03-12,539,NA
"437","02040000",1951-03-13,550,NA
"438","02040000",1951-03-14,1370,NA
"439","02040000",1951-03-15,2220,NA
"440","02040000",1951-03-16,2000,NA
"441","02040000",1951-03-17,978,NA
"442","02040000",1951-03-18,788,NA
"443","02040000",1951-03-19,788,NA
"444","02040000",1951-03-20,2190,NA
"445","02040000",1951-03-21,2520,NA
"446","02040000",1951-03-22,2460,NA
"447","02040000",1951-03-23,1240,NA
"448","02040000",1951-03-24,922,NA
"449","02040000",1951-03-25,788,NA
"450","02040000",1951-03-26,710,NA
"451","02040000",1951-03-27,658,NA
"452","02040000",1951-03-28,658,NA
"453","02040000",1951-03-29,633,NA
"454","02040000",1951-03-30,633,NA
"455","02040000",1951-03-31,633,NA
"456","02040000",1951-04-01,597,NA
"457","02040000",1951-04-02,561,NA
"458","02040000",1951-04-03,1080,NA
"459","02040000",1951-04-04,2100,NA
"460","02040000",1951-04-05,2390,NA
"461","02040000",1951-04-06,1380,NA
"462","02040000",1951-04-07,895,NA
"463","02040000",1951-04-08,814,NA
"464","02040000",1951-04-09,1010,NA
"465","02040000",1951-04-10,1470,NA
"466","02040000",1951-04-11,1590,NA
"467","02040000",1951-04-12,1320,NA
"468","02040000",1951-04-13,1290,NA
"469","02040000",1951-04-14,1320,NA
"470","02040000",1951-04-15,1010,NA
"471","02040000",1951-04-16,841,NA
"472","02040000",1951-04-17,788,NA
"473","02040000",1951-04-18,710,NA
"474","02040000",1951-04-19,633,NA
"475","02040000",1951-04-20,597,NA
"476","02040000",1951-04-21,573,NA
"477","02040000",1951-04-22,539,NA
"478","02040000",1951-04-23,597,NA
"479","02040000",1951-04-24,762,NA
"480","02040000",1951-04-25,762,NA
"481","02040000",1951-04-26,609,NA
"482","02040000",1951-04-27,710,NA
"483","02040000",1951-04-28,895,NA
"484","02040000",1951-04-29,710,NA
"485","02040000",1951-04-30,597,NA
"486","02040000",1951-05-01,550,NA
"487","02040000",1951-05-02,517,NA
"488","02040000",1951-05-03,485,NA
"489","02040000",1951-05-04,506,NA
"490","02040000",1951-05-05,495,NA
"491","02040000",1951-05-06,517,NA
"492","02040000",1951-05-07,517,NA
"493","02040000",1951-05-08,475,NA
"494","02040000",1951-05-09,435,NA
"495","02040000",1951-05-10,406,NA
"496","02040000",1951-05-11,397,NA
"497","02040000",1951-05-12,435,NA
"498","02040000",1951-05-13,506,NA
"499","02040000",1951-05-14,435,NA
"500","02040000",1951-05-15,379,NA
"501","02040000",1951-05-16,352,NA
"502","02040000",1951-05-17,343,NA
"503","02040000",1951-05-18,325,NA
"504","02040000",1951-05-19,325,NA
"505","02040000",1951-05-20,325,NA
"506","02040000",1951-05-21,334,NA
"507","02040000",1951-05-22,343,NA
"508","02040000",1951-05-23,334,NA
"509","02040000",1951-05-24,370,NA
"510","02040000",1951-05-25,334,NA
"511","02040000",1951-05-26,325,NA
"512","02040000",1951-05-27,291,NA
"513","02040000",1951-05-28,274,NA
"514","02040000",1951-05-29,274,NA
"515","02040000",1951-05-30,282,NA
"516","02040000",1951-05-31,300,NA
"517","02040000",1951-06-01,274,NA
"518","02040000",1951-06-02,258,NA
"519","02040000",1951-06-03,242,NA
"520","02040000",1951-06-04,234,NA
"521","02040000",1951-06-05,242,NA
"522","02040000",1951-06-06,388,NA
"523","02040000",1951-06-07,379,NA
"524","02040000",1951-06-08,406,NA
"525","02040000",1951-06-09,465,NA
"526","02040000",1951-06-10,425,NA
"527","02040000",1951-06-11,710,NA
"528","02040000",1951-06-12,506,NA
"529","02040000",1951-06-13,445,NA
"530","02040000",1951-06-14,950,NA
"531","02040000",1951-06-15,950,NA
"532","02040000",1951-06-16,585,NA
"533","02040000",1951-06-17,397,NA
"534","02040000",1951-06-18,334,NA
"535","02040000",1951-06-19,316,NA
"536","02040000",1951-06-20,316,NA
"537","02040000",1951-06-21,300,NA
"538","02040000",1951-06-22,352,NA
"539","02040000",1951-06-23,352,NA
"540","02040000",1951-06-24,274,NA
"541","02040000",1951-06-25,250,NA
"542","02040000",1951-06-26,234,NA
"543","02040000",1951-06-27,234,NA
"544","02040000",1951-06-28,234,NA
"545","02040000",1951-06-29,242,NA
"546","02040000",1951-06-30,234,NA
"547","02040000",1951-07-01,266,NA
"548","02040000",1951-07-02,282,NA
"549","02040000",1951-07-03,226,NA
"550","02040000",1951-07-04,204,NA
"551","02040000",1951-07-05,196,NA
"552","02040000",1951-07-06,189,NA
"553","02040000",1951-07-07,176,NA
"554","02040000",1951-07-08,168,NA
"555","02040000",1951-07-09,157,NA
"556","02040000",1951-07-10,156,NA
"557","02040000",1951-07-11,152,NA
"558","02040000",1951-07-12,148,NA
"559","02040000",1951-07-13,144,NA
"560","02040000",1951-07-14,200,NA
"561","02040000",1951-07-15,600,NA
"562","02040000",1951-07-16,560,NA
"563","02040000",1951-07-17,475,NA
"564","02040000",1951-07-18,361,NA
"565","02040000",1951-07-19,274,NA
"566","02040000",1951-07-20,800,NA
"567","02040000",1951-07-21,561,NA
"568","02040000",1951-07-22,352,NA
"569","02040000",1951-07-23,258,NA
"570","02040000",1951-07-24,226,NA
"571","02040000",1951-07-25,242,NA
"572","02040000",1951-07-26,800,NA
"573","02040000",1951-07-27,1120,NA
"574","02040000",1951-07-28,506,NA
"575","02040000",1951-07-29,325,NA
"576","02040000",1951-07-30,282,NA
"577","02040000",1951-07-31,274,NA
"578","02040000",1951-08-01,250,NA
"579","02040000",1951-08-02,234,NA
"580","02040000",1951-08-03,211,NA
"581","02040000",1951-08-04,218,NA
"582","02040000",1951-08-05,242,NA
"583","02040000",1951-08-06,250,NA
"584","02040000",1951-08-07,234,NA
"585","02040000",1951-08-08,266,NA
"586","02040000",1951-08-09,300,NA
"587","02040000",1951-08-10,280,NA
"588","02040000",1951-08-11,260,NA
"589","02040000",1951-08-12,485,NA
"590","02040000",1951-08-13,415,NA
"591","02040000",1951-08-14,266,NA
"592","02040000",1951-08-15,250,NA
"593","02040000",1951-08-16,211,NA
"594","02040000",1951-08-17,196,NA
"595","02040000",1951-08-18,563,NA
"596","02040000",1951-08-19,435,NA
"597","02040000",1951-08-20,300,NA
"598","02040000",1951-08-21,226,NA
"599","02040000",1951-08-22,211,NA
"600","02040000",1951-08-23,204,NA
"601","02040000",1951-08-24,189,NA
"602","02040000",1951-08-25,182,NA
"603","02040000",1951-08-26,180,NA
"604","02040000",1951-08-27,180,NA
"605","02040000",1951-08-28,190,NA
"606","02040000",1951-08-29,250,NA
"607","02040000",1951-08-30,380,NA
"608","02040000",1951-08-31,250,NA
"609","02040000",1951-09-01,200,NA
"610","02040000",1951-09-02,350,NA
"611","02040000",1951-09-03,1010,NA
"612","02040000",1951-09-04,506,NA
"613","02040000",1951-09-05,370,NA
"614","02040000",1951-09-06,266,NA
"615","02040000",1951-09-07,242,NA
"616","02040000",1951-09-08,234,NA
"617","02040000",1951-09-09,258,NA
"618","02040000",1951-09-10,308,NA
"619","02040000",1951-09-11,226,NA
"620","02040000",1951-09-12,196,NA
"621","02040000",1951-09-13,176,NA
"622","02040000",1951-09-14,169,NA
"623","02040000",1951-09-15,204,NA
"624","02040000",1951-09-16,242,NA
"625","02040000",1951-09-17,266,NA
"626","02040000",1951-09-18,242,NA
"627","02040000",1951-09-19,218,NA
"628","02040000",1951-09-20,218,NA
"629","02040000",1951-09-21,211,NA
"630","02040000",1951-09-22,204,NA
"631","02040000",1951-09-23,204,NA
"632","02040000",1951-09-24,189,NA
"633","02040000",1951-09-25,182,NA
"634","02040000",1951-09-26,176,NA
"635","02040000",1951-09-27,176,NA
"636","02040000",1951-09-28,176,NA
"637","02040000",1951-09-29,161,NA
"638","02040000",1951-09-30,156,NA
"639","02040000",1951-10-01,150,NA
"640","02040000",1951-10-02,150,NA
"641","02040000",1951-10-03,155,NA
"642","02040000",1951-10-04,160,NA
"643","02040000",1951-10-05,160,NA
"644","02040000",1951-10-06,160,NA
"645","02040000",1951-10-07,160,NA
"646","02040000",1951-10-08,188,NA
"647","02040000",1951-10-09,170,NA
"648","02040000",1951-10-10,160,NA
"649","02040000",1951-10-11,160,NA
"650","02040000",1951-10-12,155,NA
"651","02040000",1951-10-13,171,NA
"652","02040000",1951-10-14,171,NA
"653","02040000",1951-10-15,155,NA
"654","02040000",1951-10-16,145,NA
"655","02040000",1951-10-17,145,NA
"656","02040000",1951-10-18,145,NA
"657","02040000",1951-10-19,145,NA
"658","02040000",1951-10-20,145,NA
"659","02040000",1951-10-21,145,NA
"660","02040000",1951-10-22,145,NA
"661","02040000",1951-10-23,145,NA
"662","02040000",1951-10-24,150,NA
"663","02040000",1951-10-25,155,NA
"664","02040000",1951-10-26,150,NA
"665","02040000",1951-10-27,160,NA
"666","02040000",1951-10-28,160,NA
"667","02040000",1951-10-29,155,NA
"668","02040000",1951-10-30,155,NA
"669","02040000",1951-10-31,155,NA
"670","02040000",1951-11-01,537,NA
"671","02040000",1951-11-02,1870,NA
"672","02040000",1951-11-03,2220,NA
"673","02040000",1951-11-04,2100,NA
"674","02040000",1951-11-05,1160,NA
"675","02040000",1951-11-06,630,NA
"676","02040000",1951-11-07,1290,NA
"677","02040000",1951-11-08,1900,NA
"678","02040000",1951-11-09,1240,NA
"679","02040000",1951-11-10,731,NA
"680","02040000",1951-11-11,518,NA
"681","02040000",1951-11-12,430,NA
"682","02040000",1951-11-13,384,NA
"683","02040000",1951-11-14,384,NA
"684","02040000",1951-11-15,455,NA
"685","02040000",1951-11-16,580,NA
"686","02040000",1951-11-17,542,NA
"687","02040000",1951-11-18,480,NA
"688","02040000",1951-11-19,396,NA
"689","02040000",1951-11-20,328,NA
"690","02040000",1951-11-21,296,NA
"691","02040000",1951-11-22,277,NA
"692","02040000",1951-11-23,277,NA
"693","02040000",1951-11-24,277,NA
"694","02040000",1951-11-25,296,NA
"695","02040000",1951-11-26,317,NA
"696","02040000",1951-11-27,317,NA
"697","02040000",1951-11-28,296,NA
"698","02040000",1951-11-29,277,NA
"699","02040000",1951-11-30,260,NA
"700","02040000",1951-12-01,252,NA
"701","02040000",1951-12-02,252,NA
"702","02040000",1951-12-03,252,NA
"703","02040000",1951-12-04,252,NA
"704","02040000",1951-12-05,350,NA
"705","02040000",1951-12-06,630,NA
"706","02040000",1951-12-07,655,NA
"707","02040000",1951-12-08,468,NA
"708","02040000",1951-12-09,407,NA
"709","02040000",1951-12-10,361,NA
"710","02040000",1951-12-11,338,NA
"711","02040000",1951-12-12,306,NA
"712","02040000",1951-12-13,286,NA
"713","02040000",1951-12-14,277,NA
"714","02040000",1951-12-15,480,NA
"715","02040000",1951-12-16,835,NA
"716","02040000",1951-12-17,731,NA
"717","02040000",1951-12-18,492,NA
"718","02040000",1951-12-19,835,NA
"719","02040000",1951-12-20,1070,NA
"720","02040000",1951-12-21,3180,NA
"721","02040000",1951-12-22,3830,NA
"722","02040000",1951-12-23,4700,NA
"723","02040000",1951-12-24,5400,NA
"724","02040000",1951-12-25,6200,NA
"725","02040000",1951-12-26,5100,NA
"726","02040000",1951-12-27,3000,NA
"727","02040000",1951-12-28,1100,NA
"728","02040000",1951-12-29,640,NA
"729","02040000",1951-12-30,580,NA
"730","02040000",1951-12-31,530,NA
