"","No","Date","Flow","SpC","Lat","Long","Drain"
"1","01636846",2016-10-01,3.44,,39.3376111,-77.6264722,4.55
"2","01636846",2016-10-02,1.89,,39.3376111,-77.6264722,4.55
"3","01636846",2016-10-03,1.5,,39.3376111,-77.6264722,4.55
"4","01636846",2016-10-04,1.33,,39.3376111,-77.6264722,4.55
"5","01636846",2016-10-05,1.25,,39.3376111,-77.6264722,4.55
"6","01636846",2016-10-06,1.23,,39.3376111,-77.6264722,4.55
"7","01636846",2016-10-07,1.21,,39.3376111,-77.6264722,4.55
"8","01636846",2016-10-08,1.51,,39.3376111,-77.6264722,4.55
"9","01636846",2016-10-09,1.27,,39.3376111,-77.6264722,4.55
"10","01636846",2016-10-10,1.03,,39.3376111,-77.6264722,4.55
"11","01636846",2016-10-11,1.02,,39.3376111,-77.6264722,4.55
"12","01636846",2016-10-12,1.04,,39.3376111,-77.6264722,4.55
"13","01636846",2016-10-13,1.07,,39.3376111,-77.6264722,4.55
"14","01636846",2016-10-14,1.03,,39.3376111,-77.6264722,4.55
"15","01636846",2016-10-15,1.01,,39.3376111,-77.6264722,4.55
"16","01636846",2016-10-16,1.01,,39.3376111,-77.6264722,4.55
"17","01636846",2016-10-17,1.02,,39.3376111,-77.6264722,4.55
"18","01636846",2016-10-18,0.99,,39.3376111,-77.6264722,4.55
"19","01636846",2016-10-19,0.94,,39.3376111,-77.6264722,4.55
"20","01636846",2016-10-20,0.9,,39.3376111,-77.6264722,4.55
"21","01636846",2016-10-21,0.89,,39.3376111,-77.6264722,4.55
"22","01636846",2016-10-22,0.84,,39.3376111,-77.6264722,4.55
"23","01636846",2016-10-23,0.77,,39.3376111,-77.6264722,4.55
"24","01636846",2016-10-24,0.76,,39.3376111,-77.6264722,4.55
"25","01636846",2016-10-25,0.75,,39.3376111,-77.6264722,4.55
"26","01636846",2016-10-26,0.78,,39.3376111,-77.6264722,4.55
"27","01636846",2016-10-27,0.83,,39.3376111,-77.6264722,4.55
"28","01636846",2016-10-28,0.84,,39.3376111,-77.6264722,4.55
"29","01636846",2016-10-29,0.81,,39.3376111,-77.6264722,4.55
"30","01636846",2016-10-30,0.85,,39.3376111,-77.6264722,4.55
"31","01636846",2016-10-31,0.9,,39.3376111,-77.6264722,4.55
"32","01636846",2016-11-01,0.84,,39.3376111,-77.6264722,4.55
"33","01636846",2016-11-02,0.85,,39.3376111,-77.6264722,4.55
"34","01636846",2016-11-03,0.89,,39.3376111,-77.6264722,4.55
"35","01636846",2016-11-04,0.89,,39.3376111,-77.6264722,4.55
"36","01636846",2016-11-05,0.83,,39.3376111,-77.6264722,4.55
"37","01636846",2016-11-06,0.81,,39.3376111,-77.6264722,4.55
"38","01636846",2016-11-07,0.81,,39.3376111,-77.6264722,4.55
"39","01636846",2016-11-08,0.82,,39.3376111,-77.6264722,4.55
"40","01636846",2016-11-09,0.98,,39.3376111,-77.6264722,4.55
"41","01636846",2016-11-10,0.95,,39.3376111,-77.6264722,4.55
"42","01636846",2016-11-11,0.82,,39.3376111,-77.6264722,4.55
"43","01636846",2016-11-12,0.82,,39.3376111,-77.6264722,4.55
"44","01636846",2016-11-13,0.87,,39.3376111,-77.6264722,4.55
"45","01636846",2016-11-14,0.9,,39.3376111,-77.6264722,4.55
"46","01636846",2016-11-15,0.92,,39.3376111,-77.6264722,4.55
"47","01636846",2016-11-16,0.9,,39.3376111,-77.6264722,4.55
"48","01636846",2016-11-17,0.88,,39.3376111,-77.6264722,4.55
"49","01636846",2016-11-18,0.87,,39.3376111,-77.6264722,4.55
"50","01636846",2016-11-19,0.89,,39.3376111,-77.6264722,4.55
"51","01636846",2016-11-20,0.84,,39.3376111,-77.6264722,4.55
"52","01636846",2016-11-21,0.8,,39.3376111,-77.6264722,4.55
"53","01636846",2016-11-22,0.85,,39.3376111,-77.6264722,4.55
"54","01636846",2016-11-23,0.87,,39.3376111,-77.6264722,4.55
"55","01636846",2016-11-24,0.93,,39.3376111,-77.6264722,4.55
"56","01636846",2016-11-25,0.92,,39.3376111,-77.6264722,4.55
"57","01636846",2016-11-26,0.9,,39.3376111,-77.6264722,4.55
"58","01636846",2016-11-27,0.87,,39.3376111,-77.6264722,4.55
"59","01636846",2016-11-28,0.88,,39.3376111,-77.6264722,4.55
"60","01636846",2016-11-29,1.27,,39.3376111,-77.6264722,4.55
"61","01636846",2016-11-30,3.24,,39.3376111,-77.6264722,4.55
"62","01636846",2016-12-01,3.1,,39.3376111,-77.6264722,4.55
"63","01636846",2016-12-02,1.15,,39.3376111,-77.6264722,4.55
"64","01636846",2016-12-03,0.98,,39.3376111,-77.6264722,4.55
"65","01636846",2016-12-04,0.94,,39.3376111,-77.6264722,4.55
"66","01636846",2016-12-05,1.3,,39.3376111,-77.6264722,4.55
"67","01636846",2016-12-06,8.86,,39.3376111,-77.6264722,4.55
"68","01636846",2016-12-07,3.86,,39.3376111,-77.6264722,4.55
"69","01636846",2016-12-08,1.67,,39.3376111,-77.6264722,4.55
"70","01636846",2016-12-09,1.37,,39.3376111,-77.6264722,4.55
"71","01636846",2016-12-10,1.25,,39.3376111,-77.6264722,4.55
"72","01636846",2016-12-11,1.22,,39.3376111,-77.6264722,4.55
"73","01636846",2016-12-12,1.45,,39.3376111,-77.6264722,4.55
"74","01636846",2016-12-13,1.31,,39.3376111,-77.6264722,4.55
"75","01636846",2016-12-14,1.25,,39.3376111,-77.6264722,4.55
"76","01636846",2016-12-15,1.19,,39.3376111,-77.6264722,4.55
"77","01636846",2016-12-16,1.12,,39.3376111,-77.6264722,4.55
"78","01636846",2016-12-17,1.24,,39.3376111,-77.6264722,4.55
"79","01636846",2016-12-18,2.2,,39.3376111,-77.6264722,4.55
"80","01636846",2016-12-19,1.37,,39.3376111,-77.6264722,4.55
"81","01636846",2016-12-20,1.36,,39.3376111,-77.6264722,4.55
"82","01636846",2016-12-21,1.37,,39.3376111,-77.6264722,4.55
"83","01636846",2016-12-22,1.36,,39.3376111,-77.6264722,4.55
"84","01636846",2016-12-23,1.3,,39.3376111,-77.6264722,4.55
"85","01636846",2016-12-24,2.05,,39.3376111,-77.6264722,4.55
"86","01636846",2016-12-25,1.7,,39.3376111,-77.6264722,4.55
"87","01636846",2016-12-26,1.53,,39.3376111,-77.6264722,4.55
"88","01636846",2016-12-27,1.51,,39.3376111,-77.6264722,4.55
"89","01636846",2016-12-28,1.44,378,39.3376111,-77.6264722,4.55
"90","01636846",2016-12-29,1.63,418,39.3376111,-77.6264722,4.55
"91","01636846",2016-12-30,1.52,388,39.3376111,-77.6264722,4.55
"92","01636846",2016-12-31,1.43,378,39.3376111,-77.6264722,4.55
"93","01636846",2017-01-01,1.4,,39.3376111,-77.6264722,4.55
"94","01636846",2017-01-02,2.59,,39.3376111,-77.6264722,4.55
"95","01636846",2017-01-03,24.2,306,39.3376111,-77.6264722,4.55
"96","01636846",2017-01-04,7.24,,39.3376111,-77.6264722,4.55
"97","01636846",2017-01-05,3.3,,39.3376111,-77.6264722,4.55
"98","01636846",2017-01-06,2.87,525,39.3376111,-77.6264722,4.55
"99","01636846",2017-01-07,2.33,435,39.3376111,-77.6264722,4.55
"100","01636846",2017-01-08,2.13,,39.3376111,-77.6264722,4.55
"101","01636846",2017-01-09,2.13,429,39.3376111,-77.6264722,4.55
"102","01636846",2017-01-10,2.13,,39.3376111,-77.6264722,4.55
"103","01636846",2017-01-11,2.57,,39.3376111,-77.6264722,4.55
"104","01636846",2017-01-12,3.67,453,39.3376111,-77.6264722,4.55
"105","01636846",2017-01-13,2.67,386,39.3376111,-77.6264722,4.55
"106","01636846",2017-01-14,2.78,427,39.3376111,-77.6264722,4.55
"107","01636846",2017-01-15,3.41,472,39.3376111,-77.6264722,4.55
"108","01636846",2017-01-16,2.55,403,39.3376111,-77.6264722,4.55
"109","01636846",2017-01-17,3.73,428,39.3376111,-77.6264722,4.55
"110","01636846",2017-01-18,3.53,379,39.3376111,-77.6264722,4.55
"111","01636846",2017-01-19,2.75,386,39.3376111,-77.6264722,4.55
"112","01636846",2017-01-20,2.65,390,39.3376111,-77.6264722,4.55
"113","01636846",2017-01-21,2.55,382,39.3376111,-77.6264722,4.55
"114","01636846",2017-01-22,2.64,377,39.3376111,-77.6264722,4.55
"115","01636846",2017-01-23,38.1,314,39.3376111,-77.6264722,4.55
"116","01636846",2017-01-24,11.8,299,39.3376111,-77.6264722,4.55
"117","01636846",2017-01-25,5.66,354,39.3376111,-77.6264722,4.55
"118","01636846",2017-01-26,4.44,369,39.3376111,-77.6264722,4.55
"119","01636846",2017-01-27,3.68,377,39.3376111,-77.6264722,4.55
"120","01636846",2017-01-28,3.35,379,39.3376111,-77.6264722,4.55
"121","01636846",2017-01-29,3.14,377,39.3376111,-77.6264722,4.55
"122","01636846",2017-01-30,2.97,375,39.3376111,-77.6264722,4.55
"123","01636846",2017-01-31,2.79,373,39.3376111,-77.6264722,4.55
"124","01636846",2017-02-01,2.63,370,39.3376111,-77.6264722,4.55
"125","01636846",2017-02-02,2.52,367,39.3376111,-77.6264722,4.55
"126","01636846",2017-02-03,2.45,366,39.3376111,-77.6264722,4.55
"127","01636846",2017-02-04,2.29,368,39.3376111,-77.6264722,4.55
"128","01636846",2017-02-05,2.39,363,39.3376111,-77.6264722,4.55
"129","01636846",2017-02-06,2.32,354,39.3376111,-77.6264722,4.55
"130","01636846",2017-02-07,2.33,,39.3376111,-77.6264722,4.55
"131","01636846",2017-02-08,2.27,,39.3376111,-77.6264722,4.55
"132","01636846",2017-02-09,3.55,347,39.3376111,-77.6264722,4.55
"133","01636846",2017-02-10,2.23,352,39.3376111,-77.6264722,4.55
"134","01636846",2017-02-11,2.34,355,39.3376111,-77.6264722,4.55
"135","01636846",2017-02-12,2.64,356,39.3376111,-77.6264722,4.55
"136","01636846",2017-02-13,2.36,342,39.3376111,-77.6264722,4.55
"137","01636846",2017-02-14,2.24,352,39.3376111,-77.6264722,4.55
"138","01636846",2017-02-15,2.26,352,39.3376111,-77.6264722,4.55
"139","01636846",2017-02-16,2.13,350,39.3376111,-77.6264722,4.55
"140","01636846",2017-02-17,2.08,351,39.3376111,-77.6264722,4.55
"141","01636846",2017-02-18,2.08,346,39.3376111,-77.6264722,4.55
"142","01636846",2017-02-19,2,345,39.3376111,-77.6264722,4.55
"143","01636846",2017-02-20,1.97,341,39.3376111,-77.6264722,4.55
"144","01636846",2017-02-21,1.98,343,39.3376111,-77.6264722,4.55
"145","01636846",2017-02-22,2,340,39.3376111,-77.6264722,4.55
"146","01636846",2017-02-23,1.99,340,39.3376111,-77.6264722,4.55
"147","01636846",2017-02-24,1.95,340,39.3376111,-77.6264722,4.55
"148","01636846",2017-02-25,3.22,347,39.3376111,-77.6264722,4.55
"149","01636846",2017-02-26,2.24,325,39.3376111,-77.6264722,4.55
"150","01636846",2017-02-27,1.89,347,39.3376111,-77.6264722,4.55
"151","01636846",2017-02-28,1.95,350,39.3376111,-77.6264722,4.55
"152","01636846",2017-03-01,3.9,343,39.3376111,-77.6264722,4.55
"153","01636846",2017-03-02,2.5,324,39.3376111,-77.6264722,4.55
"154","01636846",2017-03-03,2.07,350,39.3376111,-77.6264722,4.55
"155","01636846",2017-03-04,1.91,356,39.3376111,-77.6264722,4.55
"156","01636846",2017-03-05,1.86,358,39.3376111,-77.6264722,4.55
"157","01636846",2017-03-06,1.88,354,39.3376111,-77.6264722,4.55
"158","01636846",2017-03-07,2.03,352,39.3376111,-77.6264722,4.55
"159","01636846",2017-03-08,2.18,346,39.3376111,-77.6264722,4.55
"160","01636846",2017-03-09,1.78,344,39.3376111,-77.6264722,4.55
"161","01636846",2017-03-10,2.01,352,39.3376111,-77.6264722,4.55
"162","01636846",2017-03-11,1.82,338,39.3376111,-77.6264722,4.55
"163","01636846",2017-03-12,1.75,349,39.3376111,-77.6264722,4.55
"164","01636846",2017-03-13,1.75,350,39.3376111,-77.6264722,4.55
"165","01636846",2017-03-14,2.57,482,39.3376111,-77.6264722,4.55
"166","01636846",2017-03-15,2.4,558,39.3376111,-77.6264722,4.55
"167","01636846",2017-03-16,1.84,432,39.3376111,-77.6264722,4.55
"168","01636846",2017-03-17,2.58,464,39.3376111,-77.6264722,4.55
"169","01636846",2017-03-18,8.77,387,39.3376111,-77.6264722,4.55
"170","01636846",2017-03-19,9.05,337,39.3376111,-77.6264722,4.55
