"","No","Date","Flow","SpC","Lat","Long","Drain"
"94","01564997",1993-09-02,14,,40.66173647,-77.5999947,57.4
"95","01564997",1993-09-03,15,,40.66173647,-77.5999947,57.4
"96","01564997",1993-09-04,16,,40.66173647,-77.5999947,57.4
"97","01564997",1993-09-05,14,,40.66173647,-77.5999947,57.4
"98","01564997",1993-09-06,13,,40.66173647,-77.5999947,57.4
"99","01564997",1993-09-07,13,,40.66173647,-77.5999947,57.4
"100","01564997",1993-09-08,13,,40.66173647,-77.5999947,57.4
"101","01564997",1993-09-09,13,,40.66173647,-77.5999947,57.4
"102","01564997",1993-09-10,12,,40.66173647,-77.5999947,57.4
"103","01564997",1993-09-11,12,,40.66173647,-77.5999947,57.4
"104","01564997",1993-09-12,11,,40.66173647,-77.5999947,57.4
"105","01564997",1993-09-13,11,,40.66173647,-77.5999947,57.4
"106","01564997",1993-09-14,11,,40.66173647,-77.5999947,57.4
"107","01564997",1993-09-15,11,,40.66173647,-77.5999947,57.4
"108","01564997",1993-09-16,11,,40.66173647,-77.5999947,57.4
"109","01564997",1993-09-17,11,,40.66173647,-77.5999947,57.4
"110","01564997",1993-09-18,12,,40.66173647,-77.5999947,57.4
"111","01564997",1993-09-19,11,,40.66173647,-77.5999947,57.4
"112","01564997",1993-09-20,10,,40.66173647,-77.5999947,57.4
"113","01564997",1993-09-21,11,,40.66173647,-77.5999947,57.4
"114","01564997",1993-09-22,13,,40.66173647,-77.5999947,57.4
"115","01564997",1993-09-23,12,,40.66173647,-77.5999947,57.4
"116","01564997",1993-09-24,12,,40.66173647,-77.5999947,57.4
"117","01564997",1993-09-25,12,,40.66173647,-77.5999947,57.4
"118","01564997",1993-09-26,33,,40.66173647,-77.5999947,57.4
"119","01564997",1993-09-27,41,,40.66173647,-77.5999947,57.4
"120","01564997",1993-09-28,35,,40.66173647,-77.5999947,57.4
"121","01564997",1993-09-29,22,,40.66173647,-77.5999947,57.4
"122","01564997",1993-09-30,20,,40.66173647,-77.5999947,57.4
"123","01564997",1993-10-01,19,,40.66173647,-77.5999947,57.4
"124","01564997",1993-10-02,17,,40.66173647,-77.5999947,57.4
"125","01564997",1993-10-03,16,,40.66173647,-77.5999947,57.4
"126","01564997",1993-10-04,15,,40.66173647,-77.5999947,57.4
"127","01564997",1993-10-05,15,,40.66173647,-77.5999947,57.4
"128","01564997",1993-10-06,14,,40.66173647,-77.5999947,57.4
"129","01564997",1993-10-07,14,,40.66173647,-77.5999947,57.4
"130","01564997",1993-10-08,13,,40.66173647,-77.5999947,57.4
"131","01564997",1993-10-09,13,,40.66173647,-77.5999947,57.4
"132","01564997",1993-10-10,13,,40.66173647,-77.5999947,57.4
"133","01564997",1993-10-11,12,,40.66173647,-77.5999947,57.4
"134","01564997",1993-10-12,16,,40.66173647,-77.5999947,57.4
"135","01564997",1993-10-13,17,,40.66173647,-77.5999947,57.4
"136","01564997",1993-10-14,14,,40.66173647,-77.5999947,57.4
"137","01564997",1993-10-15,13,,40.66173647,-77.5999947,57.4
"138","01564997",1993-10-16,13,,40.66173647,-77.5999947,57.4
