"","No","Date","Flow","SpC","Lat","Long","Drain"
"1","02041000",1950-01-01,79,,37.28320595,-77.869722,158
"2","02041000",1950-01-02,80,,37.28320595,-77.869722,158
"3","02041000",1950-01-03,81,,37.28320595,-77.869722,158
"4","02041000",1950-01-04,84,,37.28320595,-77.869722,158
"5","02041000",1950-01-05,82,,37.28320595,-77.869722,158
"6","02041000",1950-01-06,80,,37.28320595,-77.869722,158
"7","02041000",1950-01-07,79,,37.28320595,-77.869722,158
"8","02041000",1950-01-08,73,,37.28320595,-77.869722,158
"9","02041000",1950-01-09,69,,37.28320595,-77.869722,158
"10","02041000",1950-01-10,70,,37.28320595,-77.869722,158
"11","02041000",1950-01-11,71,,37.28320595,-77.869722,158
"12","02041000",1950-01-12,72,,37.28320595,-77.869722,158
"13","02041000",1950-01-13,129,,37.28320595,-77.869722,158
"14","02041000",1950-01-14,129,,37.28320595,-77.869722,158
"15","02041000",1950-01-15,97,,37.28320595,-77.869722,158
"16","02041000",1950-01-16,89,,37.28320595,-77.869722,158
"17","02041000",1950-01-17,86,,37.28320595,-77.869722,158
"18","02041000",1950-01-18,86,,37.28320595,-77.869722,158
"19","02041000",1950-01-19,97,,37.28320595,-77.869722,158
"20","02041000",1950-01-20,124,,37.28320595,-77.869722,158
"21","02041000",1950-01-21,108,,37.28320595,-77.869722,158
"22","02041000",1950-01-22,97,,37.28320595,-77.869722,158
"23","02041000",1950-01-23,94,,37.28320595,-77.869722,158
"24","02041000",1950-01-24,89,,37.28320595,-77.869722,158
"25","02041000",1950-01-25,85,,37.28320595,-77.869722,158
"26","02041000",1950-01-26,82,,37.28320595,-77.869722,158
"27","02041000",1950-01-27,84,,37.28320595,-77.869722,158
"28","02041000",1950-01-28,100,,37.28320595,-77.869722,158
"29","02041000",1950-01-29,94,,37.28320595,-77.869722,158
"30","02041000",1950-01-30,97,,37.28320595,-77.869722,158
"31","02041000",1950-01-31,266,,37.28320595,-77.869722,158
"32","02041000",1950-02-01,384,,37.28320595,-77.869722,158
"33","02041000",1950-02-02,327,,37.28320595,-77.869722,158
"34","02041000",1950-02-03,237,,37.28320595,-77.869722,158
"35","02041000",1950-02-04,166,,37.28320595,-77.869722,158
"36","02041000",1950-02-05,134,,37.28320595,-77.869722,158
"37","02041000",1950-02-06,126,,37.28320595,-77.869722,158
"38","02041000",1950-02-07,134,,37.28320595,-77.869722,158
"39","02041000",1950-02-08,122,,37.28320595,-77.869722,158
"40","02041000",1950-02-09,114,,37.28320595,-77.869722,158
"41","02041000",1950-02-10,139,,37.28320595,-77.869722,158
"42","02041000",1950-02-11,162,,37.28320595,-77.869722,158
"43","02041000",1950-02-12,139,,37.28320595,-77.869722,158
"44","02041000",1950-02-13,122,,37.28320595,-77.869722,158
"45","02041000",1950-02-14,126,,37.28320595,-77.869722,158
"46","02041000",1950-02-15,152,,37.28320595,-77.869722,158
"47","02041000",1950-02-16,152,,37.28320595,-77.869722,158
"48","02041000",1950-02-17,126,,37.28320595,-77.869722,158
"49","02041000",1950-02-18,110,,37.28320595,-77.869722,158
"50","02041000",1950-02-19,106,,37.28320595,-77.869722,158
"51","02041000",1950-02-20,102,,37.28320595,-77.869722,158
"52","02041000",1950-02-21,96,,37.28320595,-77.869722,158
"53","02041000",1950-02-22,96,,37.28320595,-77.869722,158
"54","02041000",1950-02-23,118,,37.28320595,-77.869722,158
"55","02041000",1950-02-24,139,,37.28320595,-77.869722,158
"56","02041000",1950-02-25,114,,37.28320595,-77.869722,158
"57","02041000",1950-02-26,110,,37.28320595,-77.869722,158
"58","02041000",1950-02-27,110,,37.28320595,-77.869722,158
"59","02041000",1950-02-28,106,,37.28320595,-77.869722,158
"60","02041000",1950-03-01,106,,37.28320595,-77.869722,158
"61","02041000",1950-03-02,100,,37.28320595,-77.869722,158
"62","02041000",1950-03-03,88,,37.28320595,-77.869722,158
"63","02041000",1950-03-04,84,,37.28320595,-77.869722,158
