     Day,      Date,Flow,Direct Runoff,Base Flow,
1,10/1/1958,7,7,0,
2,10/2/1958,6.2,5.74,0.46,
3,10/3/1958,5.4,4.58,0.82,
4,10/4/1958,5.6,4.44,1.16,
5,10/5/1958,5.4,3.95,1.45,
6,10/6/1958,5.1,3.41,1.69,
7,10/7/1958,5.1,3.19,1.91,
8,10/8/1958,5.1,2.99,2.11,
9,10/9/1958,5.1,2.8,2.3,
10,10/10/1958,5.1,2.64,2.46,
11,10/11/1958,4.4,1.84,2.56,
12,10/12/1958,4.4,1.75,2.65,
13,10/13/1958,4.4,1.67,2.73,
14,10/14/1958,4.2,1.41,2.79,
15,10/15/1958,4.2,1.36,2.84,
16,10/16/1958,4,1.13,2.87,
17,10/17/1958,4,1.1,2.9,
18,10/18/1958,4,1.07,2.93,
19,10/19/1958,4,1.04,2.96,
20,10/20/1958,3.9,0.93,2.97,
21,10/21/1958,3.9,0.91,2.99,
22,10/22/1958,4.9,1.83,3.07,
23,10/23/1958,5.8,2.58,3.22,
24,10/24/1958,4.8,1.53,3.27,
25,10/25/1958,4.6,1.29,3.31,
26,10/26/1958,4.6,1.25,3.35,
27,10/27/1958,4.2,0.85,3.35,
28,10/28/1958,4.2,0.85,3.35,
29,10/29/1958,4,0.67,3.33,
30,10/30/1958,4,0.68,3.32,
31,10/31/1958,3.9,0.6,3.3,
32,11/1/1958,3.9,0.61,3.29,
33,11/2/1958,4.4,1.09,3.31,
34,11/3/1958,5.1,1.72,3.38,
35,11/4/1958,4.2,0.82,3.38,
36,11/5/1958,4,0.64,3.36,
37,11/6/1958,3.9,0.56,3.34,
38,11/7/1958,3.9,0.58,3.32,
39,11/8/1958,3.7,0.41,3.29,
40,11/9/1958,3.7,0.44,3.26,
41,11/10/1958,3.6,0.38,3.22,
42,11/11/1958,3.6,0.41,3.19,
43,11/12/1958,3.4,0.25,3.15,
44,11/13/1958,3.4,0.29,3.11,
45,11/14/1958,3.4,0.33,3.07,
46,11/15/1958,3.4,0.36,3.04,
47,11/16/1958,3.4,0.39,3.01,
48,11/17/1958,3.2,0.23,2.97,
49,11/18/1958,3.2,0.27,2.93,
50,11/19/1958,3.2,0.3,2.9,
51,11/20/1958,3.1,0.24,2.86,
52,11/21/1958,3,0.19,2.81,
53,11/22/1958,3,0.22,2.78,
54,11/23/1958,3,0.26,2.74,
55,11/24/1958,3,0.29,2.71,
56,11/25/1958,3,0.32,2.68,
57,11/26/1958,3,0.35,2.65,
58,11/27/1958,2.8,0.18,2.62,
59,11/28/1958,3,0.4,2.6,
60,11/29/1958,4.2,1.53,2.67,
61,11/30/1958,3.1,0.45,2.65,
62,12/1/1958,3,0.37,2.63,
63,12/2/1958,3,0.39,2.61,
64,12/3/1958,3,0.41,2.59,
65,12/4/1958,3.6,0.99,2.61,
66,12/5/1958,3.1,0.5,2.6,
67,12/6/1958,3,0.42,2.58,
68,12/7/1958,3,0.43,2.57,
69,12/8/1958,3,0.45,2.55,
70,12/9/1958,3,0.46,2.54,
71,12/10/1958,2.8,0.29,2.51,
72,12/11/1958,2.8,0.32,2.48,
73,12/12/1958,2.8,0.34,2.46,
74,12/13/1958,2.6,0.17,2.43,
75,12/14/1958,2.6,0.21,2.39,
76,12/15/1958,2.6,0.23,2.37,
77,12/16/1958,2.6,0.26,2.34,
78,12/17/1958,2.5,0.19,2.31,
79,12/18/1958,2.5,0.22,2.28,
80,12/19/1958,2.5,0.25,2.25,
81,12/20/1958,2.5,0.27,2.23,
82,12/21/1958,2.4,0.2,2.2,
83,12/22/1958,2.4,0.23,2.17,
84,12/23/1958,2.6,0.43,2.17,
85,12/24/1958,2.8,0.63,2.17,
86,12/25/1958,3,0.81,2.19,
87,12/26/1958,2.8,0.6,2.2,
88,12/27/1958,2.6,0.41,2.19,
89,12/28/1958,2.6,0.42,2.18,
90,12/29/1958,6.4,3.95,2.45,
91,12/30/1958,6,3.33,2.67,
92,12/31/1958,4.2,1.47,2.73,
93,1/1/1959,4.2,1.41,2.79,
94,1/2/1959,7.2,4.14,3.06,
95,1/3/1959,4.9,1.76,3.14,
96,1/4/1959,4.8,1.59,3.21,
97,1/5/1959,4.2,0.98,3.22,
98,1/6/1959,4,0.78,3.22,
99,1/7/1959,4,0.78,3.22,
100,1/8/1959,4.2,0.97,3.23,
101,1/9/1959,4.4,1.14,3.26,
102,1/10/1959,4,0.75,3.25,
103,1/11/1959,4,0.75,3.25,
104,1/12/1959,4.2,0.94,3.26,
105,1/13/1959,4.4,1.12,3.28,
106,1/14/1959,4.4,1.1,3.3,
107,1/15/1959,4.4,1.08,3.32,
108,1/16/1959,4.9,1.52,3.38,
109,1/17/1959,4.6,1.19,3.41,
110,1/18/1959,4.4,0.98,3.42,
111,1/19/1959,4.4,0.97,3.43,
112,1/20/1959,4.6,1.15,3.45,
113,1/21/1959,4.6,1.13,3.47,
114,1/22/1959,4.8,1.29,3.51,
115,1/23/1959,4.4,0.89,3.51,
116,1/24/1959,4.2,0.71,3.49,
117,1/25/1959,4.4,0.9,3.5,
118,1/26/1959,4.2,0.72,3.48,
119,1/27/1959,4.2,0.73,3.47,
120,1/28/1959,4.2,0.74,3.46,
121,1/29/1959,4,0.56,3.44,
122,1/30/1959,4.6,1.14,3.46,
123,1/31/1959,4.2,0.75,3.45,
124,2/1/1959,4,0.57,3.43,
125,2/2/1959,4,0.59,3.41,
126,2/3/1959,4,0.61,3.39,
127,2/4/1959,4.4,1,3.4,
128,2/5/1959,5.1,1.64,3.46,
129,2/6/1959,4.4,0.93,3.47,
130,2/7/1959,4.4,0.93,3.47,
131,2/8/1959,4.2,0.74,3.46,
132,2/9/1959,4.2,0.75,3.45,
133,2/10/1959,4.4,0.94,3.46,
134,2/11/1959,4.4,0.94,3.46,
135,2/12/1959,4,0.56,3.44,
136,2/13/1959,4.8,1.32,3.48,
137,2/14/1959,4.8,1.29,3.51,
138,2/15/1959,4.9,1.35,3.55,
139,2/16/1959,4.6,1.04,3.56,
140,2/17/1959,4.6,1.03,3.57,
141,2/18/1959,4.6,1.02,3.58,
142,2/19/1959,4.2,0.64,3.56,
143,2/20/1959,4.2,0.66,3.54,
144,2/21/1959,4.2,0.67,3.53,
145,2/22/1959,4.2,0.69,3.51,
146,2/23/1959,4.2,0.7,3.5,
147,2/24/1959,4.2,0.72,3.48,
148,2/25/1959,4,0.54,3.46,
149,2/26/1959,4,0.57,3.43,
150,2/27/1959,4,0.59,3.41,
151,2/28/1959,4,0.61,3.39,
152,3/1/1959,3.9,0.53,3.37,
153,3/2/1959,3.9,0.56,3.34,
154,3/3/1959,3.9,0.58,3.32,
155,3/4/1959,3.9,0.6,3.3,
156,3/5/1959,3.7,0.43,3.27,
157,3/6/1959,5.3,1.94,3.36,
158,3/7/1959,4.4,1.02,3.38,
159,3/8/1959,4,0.64,3.36,
160,3/9/1959,4,0.65,3.35,
161,3/10/1959,3.9,0.58,3.32,
162,3/11/1959,3.9,0.59,3.31,
163,3/12/1959,5.1,1.72,3.38,
164,3/13/1959,4.4,1.01,3.39,
165,3/14/1959,4.2,0.81,3.39,
166,3/15/1959,4.2,0.81,3.39,
167,3/16/1959,4,0.63,3.37,
168,3/17/1959,4,0.65,3.35,
169,3/18/1959,4,0.66,3.34,
170,3/19/1959,3.9,0.58,3.32,
171,3/20/1959,3.9,0.6,3.3,
172,3/21/1959,3.9,0.62,3.28,
173,3/22/1959,3.9,0.63,3.27,
174,3/23/1959,3.9,0.65,3.25,
175,3/24/1959,3.7,0.47,3.23,
176,3/25/1959,3.7,0.5,3.2,
177,3/26/1959,3.7,0.52,3.18,
178,3/27/1959,4,0.82,3.18,
179,3/28/1959,4.4,1.19,3.21,
180,3/29/1959,3.9,0.7,3.2,
181,3/30/1959,4.4,1.17,3.23,
182,3/31/1959,4.9,1.6,3.3,
183,4/1/1959,4.4,1.08,3.32,
184,4/2/1959,4.8,1.43,3.37,
185,4/3/1959,5.4,1.95,3.45,
186,4/4/1959,4.6,1.12,3.48,
187,4/5/1959,4.4,0.92,3.48,
188,4/6/1959,4.4,0.92,3.48,
189,4/7/1959,4.2,0.73,3.47,
190,4/8/1959,4.2,0.74,3.46,
191,4/9/1959,4.2,0.75,3.45,
192,4/10/1959,4.2,0.76,3.44,
193,4/11/1959,4.6,1.13,3.47,
194,4/12/1959,5.3,1.76,3.54,
195,4/13/1959,6.4,2.72,3.68,
196,4/14/1959,5.6,1.84,3.76,
197,4/15/1959,5.3,1.5,3.8,
198,4/16/1959,5.1,1.27,3.83,
199,4/17/1959,4.9,1.06,3.84,
200,4/18/1959,4.8,0.96,3.84,
201,4/19/1959,4.8,0.96,3.84,
202,4/20/1959,5.6,1.7,3.9,
203,4/21/1959,5.3,1.37,3.93,
204,4/22/1959,5.1,1.16,3.94,
205,4/23/1959,4.9,0.96,3.94,
206,4/24/1959,4.9,0.96,3.94,
207,4/25/1959,4.8,0.87,3.93,
208,4/26/1959,4.8,0.88,3.92,
209,4/27/1959,4.6,0.7,3.9,
210,4/28/1959,4.6,0.72,3.88,
211,4/29/1959,4.4,0.55,3.85,
212,4/30/1959,4.4,0.58,3.82,
213,5/1/1959,4.4,0.61,3.79,
214,5/2/1959,4.2,0.45,3.75,
215,5/3/1959,4.2,0.49,3.71,
216,5/4/1959,4,0.34,3.66,
217,5/5/1959,3.9,0.29,3.61,
218,5/6/1959,3.9,0.33,3.57,
219,5/7/1959,3.9,0.37,3.53,
220,5/8/1959,3.7,0.23,3.47,
221,5/9/1959,3.7,0.27,3.43,
222,5/10/1959,3.7,0.32,3.38,
223,5/11/1959,3.6,0.26,3.34,
224,5/12/1959,3.7,0.4,3.3,
225,5/13/1959,3.9,0.61,3.29,
226,5/14/1959,3.7,0.44,3.26,
227,5/15/1959,3.6,0.38,3.22,
228,5/16/1959,3.4,0.23,3.17,
229,5/17/1959,3.4,0.27,3.13,
230,5/18/1959,3.2,0.12,3.08,
231,5/19/1959,3.1,0.08,3.02,
232,5/20/1959,3.1,0.13,2.97,
233,5/21/1959,3.1,0.17,2.93,
234,5/22/1959,2.8,0,2.8,
235,5/23/1959,2.8,0.05,2.75,
236,5/24/1959,3,0.28,2.72,
237,5/25/1959,2.8,0.13,2.67,
238,5/26/1959,2.8,0.17,2.63,
239,5/27/1959,2.6,0.02,2.58,
240,5/28/1959,2.5,0,2.5,
241,5/29/1959,2.6,0.14,2.46,
242,5/30/1959,2.6,0.17,2.43,
243,5/31/1959,2.4,0.02,2.38,
244,6/1/1959,2.4,0.06,2.34,
245,6/2/1959,2.6,0.29,2.31,
246,6/3/1959,2.5,0.22,2.28,
247,6/4/1959,2.4,0.15,2.25,
248,6/5/1959,2.2,0,2.2,
249,6/6/1959,2.2,0.04,2.16,
250,6/7/1959,2.2,0.08,2.12,
251,6/8/1959,2.2,0.11,2.09,
252,6/9/1959,2.1,0.05,2.05,
253,6/10/1959,1.9,0,1.9,
254,6/11/1959,1.9,0.04,1.86,
255,6/12/1959,1.8,0,1.8,
256,6/13/1959,1.8,0.03,1.77,
257,6/14/1959,1.8,0.06,1.74,
258,6/15/1959,1.7,0,1.7,
259,6/16/1959,1.8,0.12,1.68,
260,6/17/1959,1.8,0.15,1.65,
261,6/18/1959,1.7,0.07,1.63,
262,6/19/1959,1.7,0.1,1.6,
263,6/20/1959,1.6,0.03,1.57,
264,6/21/1959,1.6,0.05,1.55,
265,6/22/1959,1.6,0.08,1.52,
266,6/23/1959,1.6,0.1,1.5,
267,6/24/1959,1.6,0.12,1.48,
268,6/25/1959,1.5,0.05,1.45,
269,6/26/1959,1.5,0.07,1.43,
270,6/27/1959,1.4,0,1.4,
271,6/28/1959,1.2,0,1.2,
272,6/29/1959,1.1,0,1.1,
273,6/30/1959,1,0,1,
274,7/1/1959,1,0.02,0.98,
275,7/2/1959,0.9,0,0.9,
276,7/3/1959,0.9,0.02,0.88,
277,7/4/1959,0.9,0.03,0.87,
278,7/5/1959,0.8,0,0.8,
279,7/6/1959,1,0.2,0.8,
280,7/7/1959,1.1,0.29,0.81,
281,7/8/1959,1.1,0.29,0.81,
282,7/9/1959,1.1,0.28,0.82,
283,7/10/1959,3.9,2.87,1.03,
284,7/11/1959,3.4,2.21,1.19,
285,7/12/1959,1.6,0.4,1.2,
286,7/13/1959,1.6,0.39,1.21,
287,7/14/1959,6.4,4.83,1.57,
288,7/15/1959,32,28.21,3.79,
289,7/16/1959,10,5.82,4.18,
290,7/17/1959,5.4,1.2,4.2,
291,7/18/1959,4.4,0.27,4.13,
292,7/19/1959,4.6,0.51,4.09,
293,7/20/1959,27,21.29,5.71,
294,7/21/1959,12,5.93,6.07,
295,7/22/1959,7.9,1.8,6.1,
296,7/23/1959,8.8,2.62,6.18,
297,7/24/1959,6.4,0.32,6.08,
298,7/25/1959,5.6,0,5.6,
299,7/26/1959,5.4,0,5.4,
300,7/27/1959,5.3,0.01,5.29,
301,7/28/1959,4.9,0,4.9,
302,7/29/1959,4.8,0,4.8,
303,7/30/1959,4.6,0,4.6,
304,7/31/1959,4.4,0,4.4,
305,8/1/1959,4.6,0.27,4.33,
306,8/2/1959,4.2,0,4.2,
307,8/3/1959,4,0,4,
308,8/4/1959,4,0.07,3.93,
309,8/5/1959,4.4,0.51,3.89,
310,8/6/1959,4,0.18,3.82,
311,8/7/1959,3.9,0.14,3.76,
312,8/8/1959,5.1,1.31,3.79,
313,8/9/1959,5.1,1.28,3.82,
314,8/10/1959,4.4,0.61,3.79,
315,8/11/1959,4,0.27,3.73,
316,8/12/1959,3.9,0.22,3.68,
317,8/13/1959,3.6,0,3.6,
318,8/14/1959,3.6,0.07,3.53,
319,8/15/1959,3.4,0,3.4,
320,8/16/1959,3.4,0.06,3.34,
321,8/17/1959,3.2,0,3.2,
322,8/18/1959,3.2,0.06,3.14,
323,8/19/1959,3.2,0.11,3.09,
324,8/20/1959,3.1,0.07,3.03,
325,8/21/1959,3.1,0.12,2.98,
326,8/22/1959,3.1,0.17,2.93,
327,8/23/1959,3.1,0.21,2.89,
328,8/24/1959,3,0.15,2.85,
329,8/25/1959,3.6,0.75,2.85,
330,8/26/1959,3.1,0.29,2.81,
331,8/27/1959,3.1,0.32,2.78,
332,8/28/1959,3,0.25,2.75,
333,8/29/1959,3,0.28,2.72,
334,8/30/1959,3.1,0.41,2.69,
335,8/31/1959,3.9,1.17,2.73,
336,9/1/1959,4.4,1.59,2.81,
337,9/2/1959,3.6,0.79,2.81,
338,9/3/1959,3.4,0.6,2.8,
339,9/4/1959,3.1,0.33,2.77,
340,9/5/1959,3.1,0.35,2.75,
341,9/6/1959,3,0.28,2.72,
342,9/7/1959,3,0.31,2.69,
343,9/8/1959,3,0.34,2.66,
344,9/9/1959,2.8,0.18,2.62,
345,9/10/1959,2.8,0.21,2.59,
346,9/11/1959,2.8,0.25,2.55,
347,9/12/1959,2.6,0.09,2.51,
348,9/13/1959,2.6,0.13,2.47,
349,9/14/1959,2.6,0.17,2.43,
350,9/15/1959,2.6,0.2,2.4,
351,9/16/1959,2.5,0.14,2.36,
352,9/17/1959,2.5,0.17,2.33,
353,9/18/1959,2.4,0.11,2.29,
354,9/19/1959,2.4,0.14,2.26,
355,9/20/1959,2.2,0,2.2,
356,9/21/1959,2.2,0.04,2.16,
357,9/22/1959,2.2,0.08,2.12,
358,9/23/1959,2.1,0.02,2.08,
359,9/24/1959,2.1,0.06,2.04,
360,9/25/1959,2.1,0.09,2.01,
361,9/26/1959,2.1,0.12,1.98,
362,9/27/1959,2.1,0.15,1.95,
363,9/28/1959,2,0.08,1.92,
364,9/29/1959,2,0.11,1.89,
365,9/30/1959,2,0.14,1.86,
366,10/1/1959,2.1,0.25,1.85,
367,10/2/1959,2,0.18,1.82,
368,10/3/1959,1.9,0.1,1.8,
369,10/4/1959,1.9,0.13,1.77,
370,10/5/1959,1.9,0.15,1.75,
371,10/6/1959,1.8,0.08,1.72,
372,10/7/1959,1.8,0.11,1.69,
373,10/8/1959,1.8,0.13,1.67,
374,10/9/1959,1.9,0.24,1.66,
375,10/10/1959,2.4,0.72,1.68,
376,10/11/1959,2,0.33,1.67,
377,10/12/1959,1.8,0.15,1.65,
378,10/13/1959,1.7,0.08,1.62,
379,10/14/1959,3.7,1.95,1.75,
380,10/15/1959,2.8,1.01,1.79,
381,10/16/1959,2.2,0.41,1.79,
382,10/17/1959,2.1,0.32,1.78,
383,10/18/1959,2,0.24,1.76,
384,10/19/1959,2,0.25,1.75,
385,10/20/1959,1.9,0.17,1.73,
386,10/21/1959,1.9,0.19,1.71,
387,10/22/1959,2,0.3,1.7,
388,10/23/1959,2.1,0.4,1.7,
389,10/24/1959,3,1.24,1.76,
390,10/25/1959,2.4,0.62,1.78,
391,10/26/1959,2.1,0.33,1.77,
392,10/27/1959,2.1,0.34,1.76,
393,10/28/1959,2,0.26,1.74,
394,10/29/1959,2,0.27,1.73,
395,10/30/1959,2,0.28,1.72,
396,10/31/1959,2.1,0.38,1.72,
397,11/1/1959,2.1,0.39,1.71,
398,11/2/1959,2,0.3,1.7,
399,11/3/1959,2,0.31,1.69,
400,11/4/1959,2,0.32,1.68,
401,11/5/1959,2,0.32,1.68,
402,11/6/1959,2.4,0.7,1.7,
403,11/7/1959,6.4,4.38,2.02,
404,11/8/1959,3.6,1.5,2.1,
405,11/9/1959,3.1,0.97,2.13,
406,11/10/1959,3,0.84,2.16,
407,11/11/1959,2.8,0.64,2.16,
408,11/12/1959,2.8,0.63,2.17,
409,11/13/1959,2.8,0.62,2.18,
410,11/14/1959,2.8,0.62,2.18,
411,11/15/1959,2.8,0.61,2.19,
412,11/16/1959,2.8,0.61,2.19,
413,11/17/1959,3,0.79,2.21,
414,11/18/1959,2.8,0.59,2.21,
415,11/19/1959,2.8,0.58,2.22,
416,11/20/1959,2.6,0.4,2.2,
417,11/21/1959,2.8,0.59,2.21,
418,11/22/1959,3,0.77,2.23,
419,11/23/1959,2.8,0.57,2.23,
420,11/24/1959,5.4,2.98,2.42,
421,11/25/1959,8.6,5.77,2.83,
422,11/26/1959,4.4,1.5,2.9,
423,11/27/1959,4,1.07,2.93,
424,11/28/1959,4.2,1.23,2.97,
425,11/29/1959,4,1.01,2.99,
426,11/30/1959,4,0.99,3.01,
427,12/1/1959,4,0.98,3.02,
428,12/2/1959,4,0.96,3.04,
429,12/3/1959,4,0.94,3.06,
430,12/4/1959,4,0.93,3.07,
431,12/5/1959,4.2,1.1,3.1,
432,12/6/1959,4.4,1.26,3.14,
433,12/7/1959,5.4,2.16,3.24,
434,12/8/1959,4.9,1.59,3.31,
435,12/9/1959,4.6,1.26,3.34,
436,12/10/1959,4.4,1.04,3.36,
437,12/11/1959,4.4,1.03,3.37,
438,12/12/1959,7.4,3.79,3.61,
439,12/13/1959,7.7,3.85,3.85,
440,12/14/1959,5.4,1.51,3.89,
441,12/15/1959,5.3,1.38,3.92,
442,12/16/1959,5.1,1.16,3.94,
443,12/17/1959,5.1,1.15,3.95,
444,12/18/1959,6,1.97,4.03,
445,12/19/1959,6.2,2.09,4.11,
446,12/20/1959,5.3,1.17,4.13,
447,12/21/1959,5.3,1.16,4.14,
448,12/22/1959,5.4,1.25,4.15,
449,12/23/1959,5.1,0.95,4.15,
450,12/24/1959,5.1,0.96,4.14,
451,12/25/1959,4.9,0.78,4.12,
452,12/26/1959,4.9,0.8,4.1,
453,12/27/1959,5.1,1,4.1,
454,12/28/1959,5.4,1.28,4.12,
455,12/29/1959,8.6,4.22,4.38,
456,12/30/1959,6,1.59,4.41,
457,12/31/1959,5.6,1.18,4.42,
458,1/1/1960,5.4,0.99,4.41,
459,1/2/1960,5.3,0.9,4.4,
460,1/3/1960,11,6.2,4.8,
461,1/4/1960,7.2,2.31,4.89,
462,1/5/1960,6.2,1.3,4.9,
463,1/6/1960,6,1.11,4.89,
464,1/7/1960,6,1.12,4.88,
465,1/8/1960,6,1.13,4.87,
466,1/9/1960,5.4,0.58,4.82,
467,1/10/1960,5.4,0.62,4.78,
468,1/11/1960,5.4,0.67,4.73,
469,1/12/1960,5.4,0.7,4.7,
470,1/13/1960,6.6,1.85,4.75,
471,1/14/1960,6,1.25,4.75,
472,1/15/1960,8.1,3.19,4.91,
473,1/16/1960,6.8,1.84,4.96,
474,1/17/1960,6,1.05,4.95,
475,1/18/1960,6,1.07,4.93,
476,1/19/1960,6,1.08,4.92,
477,1/20/1960,5.4,0.53,4.87,
478,1/21/1960,5.4,0.58,4.82,
479,1/22/1960,5.3,0.54,4.76,
480,1/23/1960,5.3,0.59,4.71,
481,1/24/1960,5.1,0.45,4.65,
482,1/25/1960,5.1,0.5,4.6,
483,1/26/1960,5.1,0.55,4.55,
484,1/27/1960,5.1,0.59,4.51,
485,1/28/1960,5.8,1.28,4.52,
486,1/29/1960,5.4,0.9,4.5,
487,1/30/1960,5.3,0.82,4.48,
488,1/31/1960,5.1,0.66,4.44,
489,2/1/1960,5.1,0.69,4.41,
490,2/2/1960,4.9,0.54,4.36,
491,2/3/1960,4.9,0.58,4.32,
492,2/4/1960,4.8,0.52,4.28,
493,2/5/1960,4.8,0.56,4.24,
494,2/6/1960,7.9,3.47,4.43,
495,2/7/1960,5.8,1.35,4.45,
496,2/8/1960,5.4,0.96,4.44,
497,2/9/1960,5.4,0.97,4.43,
498,2/10/1960,5.3,0.89,4.41,
499,2/11/1960,8.1,3.5,4.6,
500,2/12/1960,6,1.38,4.62,
501,2/13/1960,5.6,0.99,4.61,
502,2/14/1960,6,1.38,4.62,
503,2/15/1960,5.4,0.8,4.6,
504,2/16/1960,5.4,0.83,4.57,
505,2/17/1960,5.6,1.04,4.56,
506,2/18/1960,9,4.19,4.81,
507,2/19/1960,17,11.38,5.62,
508,2/20/1960,8.8,3.05,5.75,
509,2/21/1960,7.9,2.1,5.8,
510,2/22/1960,7.9,2.05,5.85,
511,2/23/1960,7.7,1.82,5.88,
512,2/24/1960,7.7,1.79,5.91,
513,2/25/1960,8.4,2.42,5.98,
514,2/26/1960,11,4.76,6.24,
515,2/27/1960,7.4,1.19,6.21,
516,2/28/1960,7,0.84,6.16,
517,2/29/1960,7,0.9,6.1,
518,3/1/1960,6.6,0.57,6.03,
519,3/2/1960,6.4,0.46,5.94,
520,3/3/1960,6.6,0.72,5.88,
521,3/4/1960,6.2,0.4,5.8,
522,3/5/1960,6.2,0.48,5.72,
523,3/6/1960,6,0.37,5.63,
524,3/7/1960,5.8,0.26,5.54,
525,3/8/1960,5.8,0.34,5.46,
526,3/9/1960,5.8,0.42,5.38,
527,3/10/1960,5.8,0.49,5.31,
528,3/11/1960,5.4,0.18,5.22,
529,3/12/1960,5.4,0.26,5.14,
530,3/13/1960,5.3,0.24,5.06,
531,3/14/1960,5.3,0.32,4.98,
532,3/15/1960,5.4,0.48,4.92,
533,3/16/1960,5.4,0.54,4.86,
534,3/17/1960,8.6,3.55,5.05,
535,3/18/1960,11,5.6,5.4,
536,3/19/1960,10,4.36,5.64,
537,3/20/1960,9,3.22,5.78,
538,3/21/1960,8.1,2.25,5.85,
539,3/22/1960,7.7,1.82,5.88,
540,3/23/1960,7,1.15,5.85,
541,3/24/1960,6.8,0.99,5.81,
542,3/25/1960,6.4,0.65,5.75,
543,3/26/1960,6.2,0.52,5.68,
544,3/27/1960,6,0.41,5.59,
545,3/28/1960,6,0.48,5.52,
546,3/29/1960,5.8,0.36,5.44,
547,3/30/1960,6,0.62,5.38,
548,3/31/1960,6.8,1.41,5.39,
549,4/1/1960,6.8,1.41,5.39,
550,4/2/1960,6.4,1.03,5.37,
551,4/3/1960,8.1,2.63,5.47,
552,4/4/1960,20,13.56,6.44,
553,4/5/1960,31,22.86,8.14,
554,4/6/1960,14,5.57,8.43,
555,4/7/1960,9.5,1.15,8.35,
556,4/8/1960,7.9,0,7.9,
557,4/9/1960,6.8,0,6.8,
558,4/10/1960,6,0,6,
559,4/11/1960,5.6,0,5.6,
560,4/12/1960,5.4,0,5.4,
561,4/13/1960,4.9,0,4.9,
562,4/14/1960,4.9,0.09,4.81,
563,4/15/1960,4.8,0.08,4.72,
564,4/16/1960,4.8,0.16,4.64,
565,4/17/1960,4.6,0.05,4.55,
566,4/18/1960,5.1,0.59,4.51,
567,4/19/1960,4.9,0.45,4.45,
568,4/20/1960,4.8,0.4,4.4,
569,4/21/1960,4.8,0.46,4.34,
570,4/22/1960,4.9,0.6,4.3,
571,4/23/1960,4.8,0.54,4.26,
572,4/24/1960,4.9,0.67,4.23,
573,4/25/1960,4.8,0.61,4.19,
574,4/26/1960,4.8,0.64,4.16,
575,4/27/1960,4.8,0.67,4.13,
576,4/28/1960,4.6,0.51,4.09,
577,4/29/1960,4.4,0.36,4.04,
578,4/30/1960,4.2,0.23,3.97,
579,5/1/1960,4.2,0.28,3.92,
580,5/2/1960,4,0.15,3.85,
581,5/3/1960,3.9,0.12,3.78,
582,5/4/1960,3.7,0,3.7,
583,5/5/1960,3.6,0,3.6,
584,5/6/1960,3.6,0.07,3.53,
585,5/7/1960,3.4,0,3.4,
586,5/8/1960,3.6,0.25,3.35,
587,5/9/1960,4.4,1.03,3.37,
588,5/10/1960,3.6,0.28,3.32,
589,5/11/1960,3.4,0.13,3.27,
590,5/12/1960,3.4,0.18,3.22,
591,5/13/1960,3.4,0.23,3.17,
592,5/14/1960,3.4,0.27,3.13,
593,5/15/1960,3.4,0.31,3.09,
594,5/16/1960,3.2,0.16,3.04,
595,5/17/1960,3.1,0.11,2.99,
596,5/18/1960,3.2,0.25,2.95,
597,5/19/1960,3.1,0.19,2.91,
598,5/20/1960,3.1,0.23,2.87,
599,5/21/1960,3.2,0.36,2.84,
600,5/22/1960,3.7,0.85,2.85,
601,5/23/1960,4.2,1.3,2.9,
602,5/24/1960,3.6,0.7,2.9,
603,5/25/1960,3.2,0.34,2.86,
604,5/26/1960,3.2,0.36,2.84,
605,5/27/1960,3.2,0.39,2.81,
606,5/28/1960,3.2,0.41,2.79,
607,5/29/1960,4,1.17,2.83,
608,5/30/1960,3.6,0.77,2.83,
609,5/31/1960,3.2,0.39,2.81,
610,6/1/1960,3,0.23,2.77,
611,6/2/1960,3,0.27,2.73,
612,6/3/1960,2.8,0.11,2.69,
613,6/4/1960,2.8,0.15,2.65,
614,6/5/1960,2.8,0.19,2.61,
615,6/6/1960,2.6,0.04,2.56,
616,6/7/1960,2.6,0.08,2.52,
617,6/8/1960,2.6,0.12,2.48,
618,6/9/1960,2.5,0.07,2.43,
619,6/10/1960,2.5,0.11,2.39,
620,6/11/1960,2.5,0.14,2.36,
621,6/12/1960,2.5,0.18,2.32,
622,6/13/1960,2.5,0.21,2.29,
623,6/14/1960,3.4,1.07,2.33,
624,6/15/1960,4.8,2.33,2.47,
625,6/16/1960,3.7,1.18,2.52,
626,6/17/1960,3.1,0.59,2.51,
627,6/18/1960,2.8,0.31,2.49,
628,6/19/1960,2.8,0.33,2.47,
629,6/20/1960,2.6,0.17,2.43,
630,6/21/1960,2.5,0.11,2.39,
631,6/22/1960,2.5,0.15,2.35,
632,6/23/1960,2.6,0.27,2.33,
633,6/24/1960,2.5,0.2,2.3,
634,6/25/1960,2.4,0.14,2.26,
635,6/26/1960,2.2,0,2.2,
636,6/27/1960,2.2,0.04,2.16,
637,6/28/1960,2.2,0.08,2.12,
638,6/29/1960,2.4,0.3,2.1,
639,6/30/1960,2.2,0.13,2.07,
640,7/1/1960,2.4,0.34,2.06,
641,7/2/1960,2.5,0.45,2.05,
642,7/3/1960,2.4,0.36,2.04,
643,7/4/1960,2.2,0.19,2.01,
644,7/5/1960,2.2,0.21,1.99,
645,7/6/1960,2.1,0.14,1.96,
646,7/7/1960,2.4,0.44,1.96,
647,7/8/1960,2.4,0.45,1.95,
648,7/9/1960,2.2,0.26,1.94,
649,7/10/1960,2.2,0.28,1.92,
